product_name, price
GPVHOSO AMD Radeon RX 550 Graphics Card| 1183MHz| 4GB 128-Bit GDDR5 PCI Express 3.0 x 8| DP/HDMI/DVI-D Tri-ports| 4K Output| DirectX 12| OpenGL 4.5| Computer GPU| Desktop Gaming Video Card,$229.99 –
Colorful GeForce RTX 2060 Super WINDFORCE 8G Gaming Graphics Card| 3 x WINDFORCE Fans| 8GB 256-Bit GDDR6| PCI Express 3.0 16X| NVIDIA Chip GPU Video Card|Easily Play Various Large-scale 3D Games,$799.00 –
GAINWARD GeForce GTX 1660 SUPER GAMING Graphics Card|6GB 192-Bit GDDR6|NVIDIA Chip Support PCI Express 3.0|1800MHz Core frequency and 14000MHz Memory Frequency GPU DirectX 12 Video Card,$535.99 –
Colorful GeForce GTX 1050Ti 4GB GDDR5 Gaming Graphics Card|4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card|7008MHz Video Memory 2 x WINDFORCE Fans|Frequency|Support PCI Express 3.0,$279.99 –
ASUS GeForce RTX 2060 Overclocked 6G GDDR6 Dual-Fan EVO Edition VR Ready HDMI DisplayPort DVI Graphics Card (DUAL-RTX2060-O6G-EVO),$589.47 (17 Offers)–
GIGABYTE GeForce GTX 1660 OC 6G Graphics Card| 2 x WINDFORCE Fans| 6GB 192-Bit GDDR5| GV-N1660OC-6GD Video Card,$444.93 (14 Offers)–
GIGABYTE Geforce RTX 2060 OC 6G Graphics Card| 2 x WINDFORCE Fans| 6GB 192-Bit GDDR6| GV-N2060OC-6GD Video Card,$565.76 (16 Offers)–
ASUS GeForce RTX 2060 DUAL EVO 6 GB GDDR6 Graphics Card (DUAL-RTX2060-6G-EVO),$559.99 (9 Offers)–
ASUS Cerberus GeForce GTX 1050 Ti 4GB GDDR5 Gaming Graphics Card| CERBERUS-GTX1050TI-A4G,$271.08 (11 Offers)–
ASUS GeForce GT 1030 2GB Phoenix Fan OC Edition HDMI DVI Graphics Card (PH-GT1030-O2G),$114.89 (14 Offers)–
ASUS ROG STRIX Radeon RX 6700 XT OC Edition Gaming Graphics Card (AMD RDNA 2| PCIe 4.0| 12GB GDDR6| HDMI 2.1| DisplayPort 1.4a| Axial-tech Fan Design| 2.9-slot| Super Alloy Power II| GPU Tweak II),$1073.96 (16 Offers)–
MSI Gaming GeForce GTX 1660 SUPER 6GB GDDR6 PCI Express 3.0 x16 Video Card GTX 1660 SUPER GAMING X,$573.98 (19 Offers)–
MSI GeForce GTX 1050 Ti 4GB GDDR5 PCI Express 3.0 x16 ATX Video Card GTX 1050 Ti 4GT OC,$299.99 (15 Offers)–
GIGABYTE GeForce GTX 1660 Ti OC 6G Graphics Card| 2 x WINDFORCE Fans| 6GB 192-Bit GDDR6| GV-N166TOC-6GD Video Card,$512.38 (5 Offers)–
Gigabyte Ultra Durable 2 GV-N730D5-2GI GeForce GT 730 Graphic Card - 902 MHz Core - 2 GB GDDR5 SDRAM - PCI Express 2.0 x8,$124.99 –
2 x WINDFORCE Fans| 6GB 192-Bit GDDR6| GV-N2060OC-6GD Video Card GIGABYTE Geforce RTX 2060 OC 6G Graphics Card|,$788.08 –
GeForce GTX 1060 6GB DirectX 12 GDDR5 192-Bit PCI Express 2.0 x16 Video Cards Core Clock 1202 MHz Frequency HDMI/ VGA /DVI/ Graphics Card ( Super ),$399.99 –
GTX1050 2GB DDR5 128Bit Gaming Graphics Card|Low Noise Video Memory Card|Compatible with Interface for HDMI/VGA/DVI/PCI-E|640 Core 900MHz Frequency,$179.99 –
GIGABYTE GeForce RTX 2060 OC GG Graphics Card| 2X Windforce Fans| 6GB 192-bit GDDR6| Gv-N2060OC-6GD REV2.0 Video Card,$589.21 (16 Offers)–
GIGABYTE GeForce GTX 1650 OC 4G Graphics Card| 2 x WINDFORCE Fans| 4GB 128-Bit GDDR5| GV-N1650OC-4GD Video Card,$378.10 (4 Offers)–
Sapphire NITRO+ AMD RADEON RX 6900 XT SE GAMING OC Graphics Card With 16GB GDDR6 HDMI / TRIPLE DP,$1869.99 (13 Offers)–
ASUS TUF Gaming Radeon RX 6700 XT OC Edition Graphics Card (AMD RDNA 2| PCIe 4.0| 12GB GDDR6| HDMI 2.1| DisplayPort 1.4a| Dual Ball Fan Bearings| All-aluminum Shroud| Reinforced Frame| GPU Tweak II),$976.98 (12 Offers)–
GAINWARD GeForce GTX 1660 SUPER GAMING Graphics Card|6GB 192-Bit GDDR6|NVIDIA Chip Support PCI Express 3.0|1800MHz Core frequency and 14000MHz Memory Frequency GPU DirectX 12 Video Card,$535.99 –
GeForce GTX 1050 Ti |4GB GDDR5 DisplayPort 128-bit Gaming Graphic Card phics Card|Low Noise Video Memory Card|Compatible with Interface for HDMI/VGA/DVI/PCI-E|640 Core 900MHz Frequency,$299.99 –
Yeston Radeon RX6800 16GB D6 GDDR6 256bit 7nm Desktop computer PC Video Graphics Cards support PCI-Express 4.0 2*DP+1*HDMI-compatible +1*Type c  RGB light effect Fragrant graphics card,$1699.00 –
ELSA GeForce GTX 1050Ti Graphic Card NVIDIA Gaming Video Card DirectX12 4GB 128-Bit GDDR5 DP/HDMI/DVI Interface Video Card Single-fan For Gaming,$266.99 –
GIGABYTE AORUS Radeon RX 6700 XT ELITE 12G Graphics Card| WINDFORCE 3X Cooling System| 12GB 192-bit GDDR6| GV-R67XTAORUS E-12GD Video Card,$985.17 (13 Offers)–
ASRock Challenger D Radeon RX 6700 XT 12GB GDDR6 PCI Express 4.0 x16 Video Card RX6700XT CLD 12GO,$909.99 –
GIGABYTE Geforce RTX 2060 OC 6G Graphics Card| 2 x WINDFORCE Fans| 6GB 192-Bit GDDR6| GV-N2060OC-6GD Video Card,$546.99 (9 Offers)–
GIGABYTE GeForce GT 1030 Low Profile D4 2G DirectX 12 GV-N1030D4-2GL Video Card,$104.68 (19 Offers)–
ZOTAC GAMING GeForce GTX 1650 OC 4GB GDDR6 128-bit Gaming Graphics Card| Super Compact| ZT-T16520F-10L,$459.00 (2 Offers)–
ZOTAC GAMING GeForce RTX 3070 AMP Holo 8GB GDDR6 256-bit 14 Gbps PCIE 4.0 Gaming Graphics Card| HoloBlack| IceStorm 2.0 Advanced Cooling| SPECTRA 2.0 RGB Lighting| ZT-A30700F-10P,$1188.67 (4 Offers)–
GIGABYTE Radeon RX 6700 XT GAMING OC 12G Graphics Card| WINDFORCE 3X Cooling System| 12GB 192-bit GDDR6| GV-R67XTGAMING OC-12GD Video Card,$959.98 (7 Offers)–
ASRock OC Formula Radeon RX 6900 XT 16GB GDDR6 PCI Express 4.0 x16 ATX Video Card RX6900XT OCF 16G,$2269.99 (2 Offers)–
GIGABYTE Radeon RX 5500 XT OC 4G (rev. 2.0) Graphics Card| PCIe 4.0| 4GB 128-Bit GDDR6| GV-R55XTOC-4GD Video Card,$477.48 (5 Offers)–
XFX SPEEDSTER MERC319 AMD Radeon RX 6700 XT BLACK Gaming Graphics Card with 12GB GDDR6 HDMI 3xDP| AMD RDNA 2 (RX-67XTYTBDP),$1019.99 (9 Offers)–
Colorful iGame GeForce RTX 3060 Ultra W OC 12G PCI Express 4.0 Nvidia Graphics Card  GPU Video Cards for Desktop,$940.00 (2 Offers)–
ZOTAC GAMING GeForce RTX 3090 Trinity OC 24GB GDDR6X 384-bit 19.5 Gbps PCIE 4.0 Gaming Graphics Card| IceStorm 2.0 Advanced Cooling| SPECTRA 2.0 RGB Lighting| ZT-A30900J-10P,$2856.67 (2 Offers)–
Sapphire Nitro+ AMD Radeon RX 6700 XT Gaming OC 12GB GDDR6 HDMI / Triple DP (11306-01-20G),$939.99 (3 Offers)–
GIGABYTE Radeon RX 6800 XT GAMING OC 16G Graphics Card| WINDFORCE 3X Cooling System| 16GB 256-bit GDDR6| GV-R68XTGAMING OC-16GD Video Card| Powered by AMD RDNA 2| HDMI 2.1,$1365.93 (12 Offers)–
GIGABYTE GeForce RTX 2060 OC GG Graphics Card| 2X Windforce Fans| 6GB 192-bit GDDR6| GV-N2060OC-6GD REV2.0 Video Card,$993.00 (2 Offers)–
ZOTAC GAMING GeForce RTX 3080 AMP Holo 10GB GDDR6X 320-bit 19 Gbps PCIE 4.0 Gaming Graphics Card| HoloBlack| IceStorm 2.0 Advanced Cooling| SPECTRA 2.0 RGB Lighting| ZT-A30800F-10P,$1867.67 (3 Offers)–
Colorful GeForce GTX 1050Ti 4GB GDDR5 Gaming Graphics Card|4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card|7008MHz Video Memory 2 x WINDFORCE Fans|Frequency|Support PCI Express 3.0,$278.80 (2 Offers)–
MSI Gaming Radeon RX 6800 XT 16GB GDDR6 PCI Express 4.0 CrossFireX Support Video Card RX 6800 XT GAMING X TRIO 16G,$1441.71 (7 Offers)–
Colorful iGame RTX 3060 Ultra W 12G Video Card PCI Express 4.0 Nvidia Graphics Card  GPU Video Cards for Desktop,$925.00 –
GIGABYTE Geforce RTX 2060 6G Graphics Card| 2 x WINDFORCE Fans| 6GB 192-Bit GDDR| GV-N2060D6-6GD Video Card,$649.98 –
GIGABYTE GeForce RTX 3060 Ti VISION OC 8G Graphics Card| WINDFORCE 3X Cooling System| 8GB 256-bit GDDR6| GV-N306TVISION OC-8GD Video Card,$1159.19 (3 Offers)–
MSI Gaming GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 x16 Video Card RTX 3070 Ti Gaming X Trio 8G,$1148.98 (12 Offers)–
